B.1.1. primary crops,,,," 56,426 "," 53,547 "," 59,092 "," 64,836 "," 62,235 "," 65,697 "," 69,138 "," 65,794 "," 70,154 "," 65,360 "," 61,657 "," 69,472 "," 71,109 "," 64,964 "," 79,257 "," 79,716 "," 79,244 "," 83,822 "," 74,526 "," 70,013 "," 69,468 "," 76,243 "," 80,462 "," 71,184 "," 77,542 "," 86,172 "," 88,586 "," 93,727 "," 91,151 "," 94,058 "," 92,037 "," 92,559 "," 105,478 "," 110,635 "," 108,665 "," 118,345 "," 122,334 "," 121,237 "," 126,818 "," 133,613 "," 135,543 "," 146,531 "," 141,247 "," 154,351 "," 157,620 "," 177,521 "," 163,363 "
"B.1.1.1. Cereals, primary and processed",,,," 33,575 "," 31,352 "," 32,872 "," 36,181 "," 35,424 "," 34,904 "," 39,871 "," 37,746 "," 41,535 "," 37,727 "," 34,110 "," 38,771 "," 39,427 "," 36,151 "," 45,050 "," 47,549 "," 46,010 "," 51,350 "," 38,959 "," 37,352 "," 35,011 "," 40,267 "," 41,436 "," 37,658 "," 40,644 "," 47,625 "," 48,520 "," 51,130 "," 50,192 "," 51,210 "," 47,782 "," 45,530 "," 56,747 "," 65,336 "," 61,247 "," 70,364 "," 71,342 "," 71,807 "," 74,656 "," 80,499 "," 80,894 "," 89,311 "," 83,108 "," 91,744 "," 90,326 "," 104,468 "," 92,736 "
"B.1.1.2. Roots and tubers, primary and processed",,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"B.1.1.3. Sugar crops, primary and processed",,,," 10,506 "," 8,096 "," 10,745 "," 11,390 "," 10,815 "," 10,871 "," 12,192 "," 10,309 "," 10,705 "," 10,104 "," 10,646 "," 10,036 "," 10,889 "," 9,024 "," 11,142 "," 11,302 "," 11,397 "," 12,057 "," 11,230 "," 11,909 "," 11,052 "," 11,692 "," 12,063 "," 12,519 "," 13,425 "," 12,916 "," 13,052 "," 12,785 "," 12,866 "," 13,500 "," 13,919 "," 12,694 "," 14,154 "," 13,275 "," 14,050 "," 13,779 "," 13,974 "," 13,561 "," 13,948 "," 13,157 "," 13,701 "," 13,463 "," 13,265 "," 13,342 "," 12,047 "," 13,982 "," 13,533 "
"B.1.1.4. Pulses, primary and processed",,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"B.1.1.5. Nuts, primary and processed",,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"B.1.1.6. Oil bearing crops, primary and processed",,,, 63 , 146 , 82 , 126 , 112 , 82 , 99 , 77 , 85 , 99 , 98 , 100 , 115 , 107 , 118 , 146 , 157 , 177 , 166 , 206 , 224 , 236 , 257 , 327 , 357 , 360 , 533 , 457 , 405 , 413 , 456 , 397 , 435 , 420 , 565 , 948 ," 1,541 ", 965 ," 1,412 "," 1,957 "," 2,558 "," 3,285 "," 1,147 "," 1,624 "," 2,226 "," 1,789 "," 2,403 "
"B.1.1.7. Vegetables, primary and processed",,,," 2,115 "," 3,797 "," 4,417 "," 6,175 "," 4,360 "," 8,265 "," 5,446 "," 6,766 "," 6,694 "," 6,093 "," 4,054 "," 7,310 "," 7,878 "," 6,542 "," 8,755 "," 6,383 "," 7,505 "," 5,218 "," 9,096 "," 5,005 "," 7,408 "," 9,238 "," 11,127 "," 5,083 "," 7,012 "," 6,256 "," 6,589 "," 9,755 "," 9,767 "," 8,116 "," 9,232 "," 12,454 "," 12,808 "," 10,146 "," 11,506 "," 11,277 "," 12,961 "," 12,689 "," 13,354 "," 13,509 "," 13,266 "," 15,109 "," 15,857 "," 17,285 "," 19,391 "," 20,433 "," 19,942 "
"B.1.1.8. Fruits, primary and processed",,,," 6,247 "," 6,661 "," 7,444 "," 7,505 "," 8,186 "," 8,023 "," 8,158 "," 7,310 "," 7,866 "," 8,068 "," 9,036 "," 9,454 "," 9,171 "," 9,219 "," 10,587 "," 10,960 "," 10,678 "," 10,843 "," 10,499 "," 11,206 "," 11,260 "," 10,631 "," 11,009 "," 10,525 "," 11,619 "," 14,018 "," 15,131 "," 15,046 "," 13,464 "," 16,008 "," 15,805 "," 16,807 "," 16,800 "," 16,821 "," 16,513 "," 17,114 "," 17,306 "," 17,274 "," 18,264 "," 19,572 "," 19,935 "," 20,218 "," 22,476 "," 24,636 "," 27,799 "," 30,655 "," 29,019 "
"B.1.1.9. Fibres, primary and processed",,,, 950 , 928 , 911 , 486 , 191 , 187 , 173 , 172 , 181 , 205 , 205 , 228 , 233 , 187 , 176 , 199 , 181 , 161 , 168 , 160 , 147 , 124 , 114 , 111 , 117 , 107 , 81 , 71 , 80 , 70 , 65 , 56 , 49 , 47 , 57 , 40 , 58 , 35 , 52 , 41 , 49 , 29 , 39 , 31 , 214 , 295 , 136 
